   k      z      dz     pres   presi   Tabs     tp     tpl      qt      Qc     Qi    REL
 290  1852.50    5.00  826.11  826.36  284.37  300.33  300.33  5.8816  0.0000  0.0000   57.73
 289  1847.50    5.00  826.61  826.85  284.39  300.30  300.30  5.8956  0.0000  0.0000   57.82
 288  1842.50    5.00  827.10  827.35  284.41  300.27  300.27  5.9097  0.0000  0.0000   57.91
 287  1837.50    5.00  827.60  827.84  284.44  300.25  300.25  5.9238  0.0000  0.0000   58.00
 286  1832.50    5.00  828.09  828.34  284.46  300.22  300.22  5.9379  0.0000  0.0000   58.09
 285  1827.50    5.00  828.59  828.84  284.48  300.19  300.19  5.9519  0.0000  0.0000   58.18
 284  1822.50    5.00  829.08  829.33  284.50  300.16  300.16  5.9660  0.0000  0.0000   58.27
 283  1817.50    5.00  829.58  829.83  284.52  300.13  300.13  5.9801  0.0000  0.0000   58.36
 282  1812.50    5.00  830.08  830.33  284.54  300.10  300.10  5.9941  0.0000  0.0000   58.45
 281  1807.50    5.00  830.57  830.82  284.56  300.07  300.07  6.0082  0.0000  0.0000   58.54
 280  1802.50    5.00  831.07  831.32  284.58  300.04  300.04  6.0223  0.0000  0.0000   58.63
 279  1797.50    5.00  831.57  831.82  284.61  300.01  300.01  6.0363  0.0000  0.0000   58.72
 278  1792.50    5.00  832.07  832.32  284.63  299.98  299.98  6.0504  0.0000  0.0000   58.81
 277  1787.50    5.00  832.56  832.81  284.65  299.96  299.96  6.0645  0.0000  0.0000   58.90
 276  1782.50    5.00  833.06  833.31  284.67  299.93  299.93  6.0786  0.0000  0.0000   58.98
 275  1777.50    5.00  833.56  833.81  284.69  299.90  299.90  6.0926  0.0000  0.0000   59.07
 274  1772.50    5.00  834.06  834.31  284.71  299.87  299.87  6.1067  0.0000  0.0000   59.16
 273  1767.50    5.00  834.56  834.81  284.73  299.84  299.84  6.1208  0.0000  0.0000   59.25
 272  1762.50    5.00  835.06  835.31  284.75  299.81  299.81  6.1348  0.0000  0.0000   59.34
 271  1757.50    5.00  835.56  835.81  284.77  299.78  299.78  6.1489  0.0000  0.0000   59.42
 270  1752.50    5.00  836.06  836.31  284.80  299.75  299.75  6.1630  0.0000  0.0000   59.51
 269  1747.50    5.00  836.56  836.81  284.82  299.72  299.72  6.1771  0.0000  0.0000   59.60
 268  1742.50    5.00  837.06  837.31  284.84  299.69  299.69  6.1911  0.0000  0.0000   59.69
 267  1737.50    5.00  837.56  837.81  284.86  299.67  299.67  6.2052  0.0000  0.0000   59.77
 266  1732.50    5.00  838.06  838.31  284.88  299.64  299.64  6.2193  0.0000  0.0000   59.86
 265  1727.50    5.00  838.56  838.81  284.90  299.61  299.61  6.2333  0.0000  0.0000   59.95
 264  1722.50    5.00  839.06  839.31  284.92  299.58  299.58  6.2474  0.0000  0.0000   60.03
 263  1717.50    5.00  839.56  839.81  284.94  299.55  299.55  6.2615  0.0000  0.0000   60.12
 262  1712.50    5.00  840.06  840.31  284.96  299.52  299.52  6.2755  0.0000  0.0000   60.21
 261  1707.50    5.00  840.57  840.82  284.99  299.49  299.49  6.2896  0.0000  0.0000   60.29
 260  1702.50    5.00  841.07  841.32  285.01  299.46  299.46  6.3037  0.0000  0.0000   60.38
 259  1697.50    5.00  841.57  841.82  285.03  299.43  299.43  6.3178  0.0000  0.0000   60.46
 258  1692.50    5.00  842.07  842.32  285.05  299.41  299.41  6.3318  0.0000  0.0000   60.55
 257  1687.50    5.00  842.58  842.83  285.07  299.38  299.38  6.3459  0.0000  0.0000   60.64
 256  1682.50    5.00  843.08  843.33  285.09  299.35  299.35  6.3600  0.0000  0.0000   60.72
 255  1677.50    5.00  843.58  843.84  285.11  299.32  299.32  6.3740  0.0000  0.0000   60.81
 254  1672.50    5.00  844.09  844.34  285.13  299.29  299.29  6.3881  0.0000  0.0000   60.89
 253  1667.50    5.00  844.59  844.84  285.15  299.26  299.26  6.4022  0.0000  0.0000   60.98
 252  1662.50    5.00  845.10  845.35  285.18  299.23  299.23  6.4162  0.0000  0.0000   61.06
 251  1657.50    5.00  845.60  845.85  285.20  299.20  299.20  6.4303  0.0000  0.0000   61.15
 250  1652.50    5.00  846.11  846.36  285.22  299.17  299.17  6.4444  0.0000  0.0000   61.23
 249  1647.50    5.00  846.61  846.86  285.24  299.14  299.14  6.4585  0.0000  0.0000   61.31
 248  1642.50    5.00  847.12  847.37  285.26  299.12  299.12  6.4725  0.0000  0.0000   61.40
 247  1637.50    5.00  847.62  847.87  285.28  299.09  299.09  6.4866  0.0000  0.0000   61.48
 246  1632.50    5.00  848.13  848.38  285.30  299.06  299.06  6.5007  0.0000  0.0000   61.57
 245  1627.50    5.00  848.63  848.89  285.32  299.03  299.03  6.5147  0.0000  0.0000   61.65
 244  1622.50    5.00  849.14  849.39  285.34  299.00  299.00  6.5288  0.0000  0.0000   61.73
